"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 11 14:43:23 GMT 2022","Tue Oct 11 14:43:26 GMT 2022","3793","","Support Center search","","","","Сlear search field, using cancel icon",""
"passed","Tue Oct 11 14:42:33 GMT 2022","Tue Oct 11 14:42:39 GMT 2022","5715","","Log in form","","","","Single sign-on using invalid company name",""
"passed","Tue Oct 11 14:42:01 GMT 2022","Tue Oct 11 14:42:10 GMT 2022","9228","","Log in form","","","","Using invalid email for authorization",""
"passed","Tue Oct 11 14:43:20 GMT 2022","Tue Oct 11 14:43:23 GMT 2022","2921","","Support Center search","","","","Using invalid credentials in search",""
"passed","Tue Oct 11 14:42:53 GMT 2022","Tue Oct 11 14:42:58 GMT 2022","4792","","Log in form","","","","Resent verification email, using invalid email random symbols",""
"passed","Tue Oct 11 14:43:26 GMT 2022","Tue Oct 11 14:43:30 GMT 2022","3511","","Support Center search","","","","Type request into search input, clicking search icon",""
"passed","Tue Oct 11 14:42:17 GMT 2022","Tue Oct 11 14:42:22 GMT 2022","5214","","Log in form","","","","Reset password using valid email",""
"passed","Tue Oct 11 14:43:30 GMT 2022","Tue Oct 11 14:43:33 GMT 2022","2607","","Support Center search","","","","Checking that social icon have correct links",""
"passed","Tue Oct 11 14:42:42 GMT 2022","Tue Oct 11 14:42:47 GMT 2022","5021","","Log in form","","","","Single sign-on using empty company email",""
"passed","Tue Oct 11 14:42:22 GMT 2022","Tue Oct 11 14:42:28 GMT 2022","5388","","Log in form","","","","Reset password using invalid email",""
"passed","Tue Oct 11 14:42:47 GMT 2022","Tue Oct 11 14:42:53 GMT 2022","5906","","Log in form","","","","Resent verification email, using valid email",""
"passed","Tue Oct 11 14:42:39 GMT 2022","Tue Oct 11 14:42:42 GMT 2022","3739","","Log in form","","","","Single sign-on using empty company name",""
"passed","Tue Oct 11 14:43:15 GMT 2022","Tue Oct 11 14:43:20 GMT 2022","4922","","Support Center search","","","","Using valid credentials in search",""
"passed","Tue Oct 11 14:42:28 GMT 2022","Tue Oct 11 14:42:33 GMT 2022","5132","","Log in form","","","","Single sign-on using invalid company email",""
"passed","Tue Oct 11 14:42:10 GMT 2022","Tue Oct 11 14:42:17 GMT 2022","6838","","Log in form","","","","Using invalid password for authorization",""
