"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 03 12:48:31 MSK 2022","Mon Oct 03 12:48:34 MSK 2022","3365","","Support Center search","","","","Checking that social icon have correct links",""
"passed","Mon Oct 03 12:48:21 MSK 2022","Mon Oct 03 12:48:26 MSK 2022","4645","","Support Center search","","","","Сlear search field, using cancel icon",""
"passed","Mon Oct 03 12:47:39 MSK 2022","Mon Oct 03 12:47:46 MSK 2022","6466","","Log in form","","","","Resent verification email, using valid email",""
"passed","Mon Oct 03 12:48:08 MSK 2022","Mon Oct 03 12:48:16 MSK 2022","7819","","Support Center search","","","","Using valid credentials in search",""
"passed","Mon Oct 03 12:46:53 MSK 2022","Mon Oct 03 12:47:01 MSK 2022","7887","","Log in form","","","","Using invalid password for authorization",""
"passed","Mon Oct 03 12:46:40 MSK 2022","Mon Oct 03 12:46:53 MSK 2022","12509","","Log in form","","","","Using invalid email for authorization",""
"passed","Mon Oct 03 12:48:26 MSK 2022","Mon Oct 03 12:48:31 MSK 2022","5023","","Support Center search","","","","Type request into search input, clicking search icon",""
"passed","Mon Oct 03 12:47:01 MSK 2022","Mon Oct 03 12:47:07 MSK 2022","6200","","Log in form","","","","Reset password using valid email",""
"passed","Mon Oct 03 12:47:13 MSK 2022","Mon Oct 03 12:47:21 MSK 2022","7687","","Log in form","","","","Single sign-on using invalid company email",""
"passed","Mon Oct 03 12:47:07 MSK 2022","Mon Oct 03 12:47:13 MSK 2022","5975","","Log in form","","","","Reset password using invalid email",""
"passed","Mon Oct 03 12:47:21 MSK 2022","Mon Oct 03 12:47:28 MSK 2022","7416","","Log in form","","","","Single sign-on using invalid company name",""
"passed","Mon Oct 03 12:47:34 MSK 2022","Mon Oct 03 12:47:39 MSK 2022","5129","","Log in form","","","","Single sign-on using empty company email",""
"passed","Mon Oct 03 12:47:46 MSK 2022","Mon Oct 03 12:47:54 MSK 2022","8235","","Log in form","","","","Resent verification email, using invalid email random symbols",""
"passed","Mon Oct 03 12:48:16 MSK 2022","Mon Oct 03 12:48:21 MSK 2022","5067","","Support Center search","","","","Using invalid credentials in search",""
"passed","Mon Oct 03 12:47:28 MSK 2022","Mon Oct 03 12:47:34 MSK 2022","5980","","Log in form","","","","Single sign-on using empty company name",""
